datetime_str,RA,DEC,delta,r,elong,alpha,RA_3sigma,DEC_3sigma,SMAA_3sigma,SMIA_3sigma,Theta_3sigma,Area_3sigma,RSS_3sigma
2025-Jul-01 00:00,271.97745,-18.69705,3.50681228703009,4.514548234928,171.4003,1.9305,0.052,0.033,0.052,0.033,2.486,0.0053971,0.062
2025-Jul-06 00:00,269.32436,-18.62586,3.35897404226567,4.348025926739,164.7566,3.5256,0.043,0.031,0.043,0.031,1.88,0.0041991,0.053
2025-Jul-11 00:00,266.47548,-18.51703,3.22458696244635,4.181987757093,157.531,5.332,0.035,0.03,0.035,0.03,0.535,0.0032554,0.046
2025-Jul-16 00:00,263.44793,-18.36344,3.10400635613197,4.016510307979,150.0151,7.2673,0.03,0.029,0.03,0.028,-4.845,0.0027238,0.042
2025-Jul-21 00:00,260.26627,-18.15914,2.99742236174976,3.851684437617,142.2947,9.287,0.031,0.028,0.031,0.028,-5.335,0.0026982,0.042
2025-Jul-26 00:00,256.96285,-17.9,2.90477963802501,3.687618490199,134.4211,11.3475,0.036,0.027,0.036,0.027,-3.655,0.0030766,0.045
2025-Jul-31 00:00,253.57565,-17.58417,2.82569522574349,3.524442358969,126.4396,13.4007,0.042,0.028,0.042,0.028,-3.328,0.0036821,0.051
2025-Aug-05 00:00,250.14486,-17.21243,2.75948258687204,3.362312678541,118.3918,15.3952,0.049,0.029,0.049,0.029,-3.434,0.0044049,0.057
2025-Aug-10 00:00,246.71036,-16.78821,2.70520986366327,3.201419470134,110.3161,17.2776,0.054,0.031,0.054,0.031,-3.654,0.00518,0.062
2025-Aug-15 00:00,243.30973,-16.31741,2.66174347701565,3.041994676298,102.2466,18.993,0.057,0.033,0.057,0.033,-3.867,0.0059447,0.066
2025-Aug-20 00:00,239.97683,-15.8078,2.62775952456133,2.884323167607,94.2144,20.4858,0.058,0.036,0.058,0.036,-4.029,0.0066295,0.069
2025-Aug-25 00:00,236.7394,-15.26792,2.60173113608474,2.728756983305,86.2473,21.7012,0.057,0.04,0.057,0.04,-4.176,0.0071736,0.07
2025-Aug-30 00:00,233.61639,-14.70585,2.58200213000159,2.575733792037,78.3661,22.5871,0.055,0.043,0.055,0.043,-4.577,0.0075456,0.07
2025-Sep-04 00:00,230.61758,-14.12857,2.56690297255118,2.425800746494,70.5824,23.0938,0.052,0.047,0.053,0.047,-7.165,0.0077612,0.071
2025-Sep-09 00:00,227.74474,-13.54155,2.55482105552588,2.279645057106,62.8989,23.172,0.049,0.051,0.051,0.049,-70.555,0.0078937,0.071
2025-Sep-14 00:00,224.99337,-12.94869,2.54422625395063,2.13813255842,55.3106,22.7704,0.047,0.055,0.055,0.047,-83.287,0.0080711,0.072
2025-Sep-19 00:00,222.35379,-12.35203,2.53363550772466,2.0023549115,47.8083,21.835,0.046,0.058,0.059,0.046,-82.36,0.0084476,0.074
2025-Sep-24 00:00,219.81055,-11.75126,2.52162501737101,1.873684272132,40.3795,20.3107,0.047,0.062,0.062,0.047,-79.438,0.0091431,0.078
2025-Sep-29 00:00,217.34303,-11.14377,2.50690562162229,1.753830075685,33.008,18.1449,0.05,0.065,0.066,0.049,-75.217,0.010184,0.082
2025-Oct-04 00:00,214.92709,-10.52524,2.48836263916658,1.644884560016,25.6759,15.2941,0.055,0.068,0.07,0.052,-69.967,0.0114924,0.087
2025-Oct-09 00:00,212.5367,-9.89004,2.46506267967492,1.549330763371,18.3693,11.7401,0.06,0.071,0.074,0.056,-64.109,0.0129206,0.093
