targetname,datetime_str,datetime_jd,M1,solar_presence,k1,lunar_presence,RA,DEC,RA_app,DEC_app,RA_rate,DEC_rate,AZ,EL,AZ_rate,EL_rate,sat_X,sat_Y,sat_PANG,siderealtime,airmass,magextinct,Tmag,Nmag,illumination,illum_defect,sat_sep,sat_vis,ang_width,PDObsLon,PDObsLat,PDSunLon,PDSunLat,SubSol_ang,SubSol_dist,NPole_ang,NPole_dist,EclLon,EclLat,r,r_rate,delta,delta_rate,lighttime,vel_sun,vel_obs,elong,elongFlag,alpha,lunar_elong,lunar_illum,sat_alpha,sunTargetPA,velocityPA,OrbPlaneAng,constellation,TDB-UT,ObsEclLon,ObsEclLat,NPole_RA,NPole_DEC,GlxLon,GlxLat,solartime,earth_lighttime,RA_3sigma,DEC_3sigma,SMAA_3sigma,SMIA_3sigma,Theta_3sigma,Area_3sigma,RSS_3sigma,r_3sigma,r_rate_3sigma,SBand_3sigma,XBand_3sigma,DoppDelay_3sigma,true_anom,hour_angle,alpha_true,PABLon,PABLat
ATLAS (C/2025 N1),2025-Jul-01 00:00,2460857.5,12.5,,4.5,,271.97745,-18.69705,272.35887,-18.69391,-72.4868,1.454139,,,,,569849.37,-150467.74,60.63,,999,,18.17,,99.97148,,617040.9,*,,,,,,302.19,0.0,,,273.501,3.6727,4.514548234928,-57.7309792,3.50681228703009,-53.4606233,29.16526845,61.2730046,74.0423215,171.4003,/T,1.9305,103.1,32.7636,6.9746,122.308,94.813,-0.97139,Sgr,69.184127,272.2419891,4.7260919,,,11.412002,0.738903,,0.0,0.052,0.033,0.052,0.033,2.486,0.0053971,0.062,1131.3478,0.0001536,2.3,8.36,0.007548,280.7491,,1.9351,272.6927,4.2014
ATLAS (C/2025 N1),2025-Jul-02 00:00,2460858.5,12.5,,4.5,,271.46309,-18.68546,271.84449,-18.68361,-73.6637,1.635953,,,,,565021.481,-150175.07,65.543,,999,,18.137,,99.96218,,612562.9,*,,,,,,297.83,0.0,,,273.3493,3.6813,4.481208306636,-57.7017583,3.47619039215582,-52.5589244,28.91059392,61.2968482,73.6591619,170.1564,/T,2.2237,90.4,42.2997,7.939,117.954,94.903,-0.96254,Sgr,69.1841,271.7532646,4.7435275,,,11.184757,1.170089,,0.0,0.05,0.033,0.05,0.033,2.382,0.0051437,0.06,1119.5914,0.0001532,2.3,8.36,0.007469,280.9008,,2.2285,272.3727,4.2145
ATLAS (C/2025 N1),2025-Jul-03 00:00,2460859.5,12.5,,4.5,,270.94053,-18.67261,271.32189,-18.67206,-74.8313,1.82695,,,,,560191.972,-149853.77,69.44,,999,,18.103,,99.95098,,607889.0,*,,,,,,294.48,0.0,,,273.1953,3.6899,4.447885602921,-57.6716864,3.44609154544836,-51.6498142,28.66026945,61.3210273,73.2728493,168.858,/T,2.5325,78.1,51.929,8.9379,114.613,94.998,-0.95311,Sgr,69.184072,271.2566367,4.7605337,,,10.953465,1.60803,,0.0,0.048,0.032,0.048,0.032,2.272,0.0048963,0.058,1107.8527,0.0001528,2.3,8.37,0.007391,281.0547,,2.5374,272.0475,4.2276
ATLAS (C/2025 N1),2025-Jul-04 00:00,2460860.5,12.5,,4.5,,270.40982,-18.65843,270.79115,-18.6592,-75.9885,2.02714,,,,,555360.177,-149503.76,72.609,,999,,18.07,,99.93778,,603070.8,*,,,,,,291.86,0.0,,,273.039,3.6986,4.414580624178,-57.6407352,3.41651992613645,-50.7336475,28.41432979,61.3455486,72.8834746,167.5197,/T,2.8537,65.8,61.3532,9.9617,111.999,95.096,-0.9431,Sgr,69.184045,270.7521722,4.7770857,,,10.718121,2.05266,,0.0,0.046,0.032,0.046,0.032,2.154,0.0046557,0.056,1096.1321,0.0001524,2.3,8.37,0.007313,281.2109,,2.8587,271.7173,4.2405
ATLAS (C/2025 N1),2025-Jul-05 00:00,2460861.5,12.5,,4.5,,269.87107,-18.64287,270.25235,-18.64498,-77.1339,2.236506,,,,,550525.428,-149124.97,75.244,,999,,18.037,,99.92251,,598141.6,*,,,,,,289.78,0.0,,,272.8803,3.7074,4.381293887382,-57.6088754,3.38747950582956,-49.8107887,28.17280798,61.3704191,72.4911183,166.1504,/T,3.1852,53.7,70.3056,11.0043,109.918,95.198,-0.93251,Sgr,69.184017,270.2399451,4.7931582,,,10.478719,2.503905,,0.0,0.044,0.032,0.044,0.032,2.024,0.0044229,0.055,1084.4298,0.000152,2.31,8.38,0.007235,281.3695,,3.1903,271.3819,4.2533
ATLAS (C/2025 N1),2025-Jul-06 00:00,2460862.5,12.5,,4.5,,269.32436,-18.62586,269.7056,-18.62932,-78.2661,2.455004,,,,,545687.058,-148717.33,77.48,,999,,18.003,,99.90509,,593123.7,*,,,,,,288.1,0.0,,,272.7192,3.7164,4.348025926739,-57.5760766,3.35897404226567,-48.8816137,27.93573526,61.3956458,72.0958532,164.7566,/T,3.5256,41.7,78.5329,12.0614,108.237,95.303,-0.92133,Sgr,69.183989,269.7200369,4.8087258,,,10.235255,2.961684,,0.0,0.043,0.031,0.043,0.031,1.88,0.0041991,0.053,1072.7462,0.0001515,2.31,8.39,0.007157,281.5306,,3.5308,271.0416,4.2659
ATLAS (C/2025 N1),2025-Jul-07 00:00,2460863.5,12.5,,4.5,,268.7698,-18.60734,269.15099,-18.61218,-79.3837,2.68256,,,,,540844.405,-148280.79,79.408,,999,,17.97,,99.88545,,588032.3,*,,,,,,286.72,0.0,,,272.5556,3.7254,4.314777294361,-57.5423069,3.33100707316793,-47.9465078,27.70314108,61.4212361,71.6977447,163.3423,/T,3.8739,29.8,85.7813,13.1303,106.861,95.412,-0.90956,Sgr,69.183962,269.1925369,4.8237628,,,9.987727,3.425907,,0.0,0.041,0.031,0.041,0.031,1.714,0.0039852,0.051,1061.082,0.0001511,2.31,8.4,0.007079,281.6941,,3.879,270.6962,4.2783
ATLAS (C/2025 N1),2025-Jul-08 00:00,2460864.5,12.5,,4.5,,268.2075,-18.58726,268.58865,-18.5935,-80.4852,2.919071,,,,,535996.815,-147815.29,81.098,,999,,17.937,,99.86352,,582878.3,*,,,,,,285.58,0.0,,,272.3894,3.7346,4.281548560976,-57.5075336,3.30358191133282,-47.0058639,27.47505296,61.4471974,71.2968487,161.9106,/T,4.2293,18.4,91.7909,14.2089,105.723,95.525,-0.89719,Sgr,69.183934,268.6575416,4.8382435,,,9.736135,3.896473,,0.0,0.039,0.031,0.039,0.031,1.516,0.0037827,0.05,1049.4377,0.0001506,2.31,8.4,0.007001,281.8601,,4.2344,270.3457,4.2906
ATLAS (C/2025 N1),2025-Jul-09 00:00,2460865.5,12.5,,4.5,,267.63758,-18.56555,268.01868,-18.57321,-81.5692,3.164398,,,,,531143.649,-147320.81,82.598,,999,,17.904,,99.83921,,577669.7,*,,,,,,284.63,0.0,,,272.2207,3.7438,4.248340316668,-57.4717222,3.27670164136078,-46.0600787,27.25149657,61.4735374,70.8932079,160.4638,/T,4.591,10.3,96.2988,15.2957,104.775,95.641,-0.88422,Sgr,69.183906,268.1151556,4.8521418,,,9.480479,4.373274,,0.0,0.038,0.03,0.038,0.03,1.272,0.0035926,0.048,1037.8142,0.0001502,2.31,8.41,0.006924,282.0288,,4.5961,269.9903,4.3027
ATLAS (C/2025 N1),2025-Jul-10 00:00,2460866.5,12.5,,4.5,,267.0602,-18.54216,267.44123,-18.55127,-82.6342,3.418366,,,,,526284.287,-146797.29,83.945,,999,,17.871,,99.81248,,572412.6,*,,,,,,283.83,0.0,,,272.0493,3.7532,4.215153171653,-57.4348373,3.25036911764915,-45.1095522,27.03249565,61.5002638,70.4868466,159.0035,/T,4.9588,14.2,99.0529,16.3899,103.979,95.76,-0.87064,Sgr,69.183878,267.5654917,4.8654317,,,9.220762,4.856192,,0.0,0.036,0.03,0.036,0.03,0.957,0.0034164,0.047,1026.2124,0.0001497,2.32,8.42,0.006846,282.2001,,4.9638,269.6299,4.3146
