datetime_str,x,y,z,vx,vy,vz,r_au,speed_au_per_day
A.D. 2025-Jul-01 00:00:00.0000,0.2748502449299431,-4.496235276885193,0.2891626440257948,-0.01385120397613722,0.0325318510677763,-0.001469951882651763,4.5138995732010825,0.03538838713507369
A.D. 2025-Jul-06 00:00:00.0000,0.2055837141386432,-4.333390671810182,0.2818009195340782,-0.01385528866348952,0.0326069405763544,-0.001474808293872108,4.347407403993878,0.03545922527639602
A.D. 2025-Jul-11 00:00:00.0000,0.1362987327519165,-4.170155837100111,0.2744138116505467,-0.01385854691133348,0.03268805355683755,-0.001480114665892098,4.1813968946124325,0.035535319152253296
A.D. 2025-Jul-16 00:00:00.0000,0.06700004023726498,-4.006498915576724,0.2669989212547944,-0.01386072575796873,0.03277590252317775,-0.001485932371385467,4.01594459496897,0.03561723599268756
A.D. 2025-Jul-21 00:00:00.0000,-0.002306194465331708,-3.842384224821072,0.259553516006482,-0.01386150344188087,0.03287130792536052,-0.001492333673419189,3.8511413733279216,0.035705618916158914
A.D. 2025-Jul-26 00:00:00.0000,-0.07161198047021508,-3.677771672077881,0.2520744702809239,-0.01386046906325424,0.0329752168056463,-0.001499404053282269,3.6870956437625546,0.03580119744572527
A.D. 2025-Jul-31 00:00:00.0000,-0.140906994983512,-3.512616068309573,0.2445581921254667,-0.01385709559278278,0.03308872452109912,-0.001507245094579,3.5239374475035112,0.03590479879453217
A.D. 2025-Aug-05 00:00:00.0000,-0.2101779169977713,-3.346866325656555,0.2370005341322987,-0.01385070386791771,0.03321309965729877,-0.001515978056667708,3.3618236437663302,0.0360173593694861
A.D. 2025-Aug-10 00:00:00.0000,-0.2794075519232562,-3.180464522726905,0.2293966844020689,-0.01384041434534767,0.03334981189823015,-0.001525748292201378,3.2009445479750016,0.036139935400459615
A.D. 2025-Aug-15 00:00:00.0000,-0.3485736754920606,-3.013344824901495,0.2217410329613621,-0.01382508220890587,0.03350056190679416,-0.001536730675836307,3.0415324635297645,0.03627371069140859
A.D. 2025-Aug-20 00:00:00.0000,-0.4176474996461436,-2.845432254522951,0.2140270081857736,-0.01380320993131802,0.03366731095996153,-0.001549136193842594,2.883872692972627,0.03641999800425386
A.D. 2025-Aug-25 00:00:00.0000,-0.4865916293701515,-2.676641322465774,0.2062468772146898,-0.01377282968175647,0.03385230570070684,-0.001563219754245973,2.7283177889067907,0.03658022819361363
A.D. 2025-Aug-30 00:00:00.0000,-0.5553573372841742,-2.506874565892073,0.1983915045167286,-0.01373134635622793,0.03405808882321076,-0.001579289067352821,2.575306010992936,0.036755917088309296
A.D. 2025-Sep-04 00:00:00.0000,-0.6238809326633248,-2.336021101757626,0.1904500643205458,-0.01367533036936851,0.03428747829778004,-0.00159771409125456,2.425385172090708,0.03694859292381109
