targetname,datetime_jd,datetime_str,M1,x,k1,y,z,vx,vy,vz,lighttime,range,range_rate,r_au,speed_au_per_day
ATLAS (C/2025 N1),2460857.5,A.D. 2025-Jul-01 00:00:00.0000,12.5,0.2748502449299431,4.5,-4.496235276885193,0.2891626440257948,-0.01385120397613722,0.0325318510677763,-0.001469951882651763,0.02607010973128848,4.513899573201082,-0.03334210607281509,4.5138995732010825,0.03538838713507369
ATLAS (C/2025 N1),2460858.5,A.D. 2025-Jul-02 00:00:00.0000,12.5,0.260998602411998,4.5,-4.463696160491772,0.2876922245249651,-0.01385207678442773,0.0325464180841909,-0.001470889798002284,0.02587759030727284,4.480565868247237,-0.0333252232128956,4.480565868247238,0.03540215923005965
ATLAS (C/2025 N1),2460859.5,A.D. 2025-Jul-03 00:00:00.0000,12.5,0.2471461001556567,4.5,-4.43114236719887,0.2862208590058123,-0.01385292320670232,0.03256120565874041,-0.001471843985697841,0.02568516980271668,4.44724929066687,-0.03330784865795311,4.44724929066687,0.03541612514152014
ATLAS (C/2025 N1),2460860.5,A.D. 2025-Jul-04 00:00:00.0000,12.5,0.2332927652973337,4.5,-4.398573674050597,0.2847485309947143,-0.0138537417303303,0.03257621860881631,-0.00147281485038671,0.02549285110423291,4.413950340261509,-0.03328996609128358,4.4139503402615095,0.0354302887705365
ATLAS (C/2025 N1),2460861.5,A.D. 2025-Jul-05 00:00:00.0000,12.5,0.2194386265221682,4.5,-4.36598985320733,0.2832752236070361,-0.01385453076989326,0.03259146188520277,-0.001473802809527414,0.02530063719449495,4.380669533465052,-0.03327155856022244,4.380669533465052,0.03544465411581717
ATLAS (C/2025 N1),2460862.5,A.D. 2025-Jul-06 00:00:00.0000,12.5,0.2055837141386432,4.5,-4.333390671810182,0.2818009195340782,-0.01385528866348952,0.0326069405763544,-0.001474808293872108,0.02510853115599156,4.347407403993879,-0.03325260844757476,4.347407403993878,0.03545922527639602
ATLAS (C/2025 N1),2460863.5,A.D. 2025-Jul-07 00:00:00.0000,12.5,0.1917280601570014,4.5,-4.300775891841145,0.2803256010295327,-0.0138560136688332,0.03262265991282096,-0.0014758317479706,0.02491653617495079,4.314164503526277,-0.03323309744160345,4.3141645035262774,0.035474006454399624
ATLAS (C/2025 N1),2460864.5,A.D. 2025-Jul-08 00:00:00.0000,12.5,0.1778716983716701,4.5,-4.26814526997871,0.2788492498954265,-0.01385670395913595,0.03263862527182364,-0.001476873630695972,0.02472465554544166,4.280941402412616,-0.03321300650449602,4.2809414024126164,0.03548900195788413
ATLAS (C/2025 N1),2460865.5,A.D. 2025-Jul-09 00:00:00.0000,12.5,0.1640146644479183,4.5,-4.235498557448846,0.2773718474675217,-0.01385735761875829,0.03265484218198729,-0.001477934415792806,0.02453289267366248,4.247738690417852,-0.0331923158392253,4.247738690417852,0.035504216203741765
ATLAS (C/2025 N1),2460866.5,A.D. 2025-Jul-10 00:00:00.0000,12.5,0.150156996012983,4.5,-4.202835499871168,0.275893374600166,-0.01385797263861693,0.03267131632823329,-0.00147901459244897,0.02434125108242551,4.214556977498018,-0.03317100485471456,4.214556977498019,0.03551965372067717
