Object: 199 (heliocentric vectors, AU)
datetime_str	x	y	z	r_au	vx	vy	vz	speed_au_per_day
A.D. 2026-Mar-20 00:00:00.0000	-0.364150102	-0.236190930	0.014096769	0.434269699	0.000005506	-0.000012917	-0.000001561	0.000014128
A.D. 2026-Mar-21 00:00:00.0000	-0.353970980	-0.258119829	0.011371064	0.438235784	0.000006245	-0.000012408	-0.000001587	0.000013981
A.D. 2026-Mar-22 00:00:00.0000	-0.342547258	-0.279141603	0.008605340	0.441964603	0.000006944	-0.000011869	-0.000001607	0.000013845
A.D. 2026-Mar-23 00:00:00.0000	-0.329949320	-0.299206934	0.005810083	0.445449323	0.000007602	-0.000011304	-0.000001621	0.000013718
A.D. 2026-Mar-24 00:00:00.0000	-0.316246680	-0.318270889	0.002995341	0.448683957	0.000008220	-0.000010713	-0.000001629	0.000013601
A.D. 2026-Mar-25 00:00:00.0000	-0.301507947	-0.336292492	0.000170755	0.451663272	0.000008798	-0.000010100	-0.000001632	0.000013494
A.D. 2026-Mar-26 00:00:00.0000	-0.285800825	-0.353234334	-0.002654407	0.454382715	0.000009338	-0.000009466	-0.000001630	0.000013397
A.D. 2026-Mar-27 00:00:00.0000	-0.269192145	-0.369062225	-0.005471224	0.456838342	0.000009840	-0.000008814	-0.000001623	0.000013309
A.D. 2026-Mar-28 00:00:00.0000	-0.251747919	-0.383744889	-0.008271082	0.459026759	0.000010304	-0.000008144	-0.000001611	0.000013232
A.D. 2026-Mar-29 00:00:00.0000	-0.233533419	-0.397253691	-0.011045657	0.460945072	0.000010730	-0.000007458	-0.000001594	0.000013164
A.D. 2026-Mar-30 00:00:00.0000	-0.214613264	-0.409562393	-0.013786877	0.462590840	0.000011119	-0.000006758	-0.000001572	0.000013106
A.D. 2026-Mar-31 00:00:00.0000	-0.195051526	-0.420646953	-0.016486901	0.463962040	0.000011471	-0.000006044	-0.000001546	0.000013058
A.D. 2026-Apr-01 00:00:00.0000	-0.174911846	-0.430485337	-0.019138090	0.465057034	0.000011786	-0.000005318	-0.000001516	0.000013019
A.D. 2026-Apr-02 00:00:00.0000	-0.154257558	-0.439057373	-0.021732989	0.465874547	0.000012065	-0.000004581	-0.000001481	0.000012991
A.D. 2026-Apr-03 00:00:00.0000	-0.133151825	-0.446344623	-0.024264295	0.466413644	0.000012308	-0.000003834	-0.000001442	0.000012972
A.D. 2026-Apr-04 00:00:00.0000	-0.111657775	-0.452330277	-0.026724847	0.466673715	0.000012514	-0.000003078	-0.000001399	0.000012963
A.D. 2026-Apr-05 00:00:00.0000	-0.089838651	-0.456999079	-0.029107596	0.466654469	0.000012683	-0.000002313	-0.000001352	0.000012963
A.D. 2026-Apr-06 00:00:00.0000	-0.067757961	-0.460337267	-0.031405593	0.466355929	0.000012816	-0.000001541	-0.000001301	0.000012974
A.D. 2026-Apr-07 00:00:00.0000	-0.045479635	-0.462332545	-0.033611970	0.465778428	0.000012911	-0.000000762	-0.000001247	0.000012994
A.D. 2026-Apr-08 00:00:00.0000	-0.023068190	-0.462974069	-0.035719923	0.464922621	0.000012970	0.000000022	-0.000001188	0.000013024
A.D. 2026-Apr-09 00:00:00.0000	-0.000588896	-0.462252464	-0.037722700	0.463789488	0.000012990	0.000000812	-0.000001125	0.000013064
A.D. 2026-Apr-10 00:00:00.0000	0.021892053	-0.460159857	-0.039613586	0.462380355	0.000012971	0.000001606	-0.000001058	0.000013113
A.D. 2026-Apr-11 00:00:00.0000	0.044307365	-0.456689947	-0.041385893	0.460696910	0.000012914	0.000002403	-0.000000988	0.000013173
A.D. 2026-Apr-12 00:00:00.0000	0.066588466	-0.451838090	-0.043032954	0.458741233	0.000012816	0.000003202	-0.000000914	0.000013242
A.D. 2026-Apr-13 00:00:00.0000	0.088665324	-0.445601418	-0.044548111	0.456515824	0.000012678	0.000004002	-0.000000836	0.000013321
A.D. 2026-Apr-14 00:00:00.0000	0.110466259	-0.437978991	-0.045924711	0.454023645	0.000012497	0.000004802	-0.000000754	0.000013410
A.D. 2026-Apr-15 00:00:00.0000	0.131917759	-0.428971979	-0.047156110	0.451268161	0.000012274	0.000005601	-0.000000668	0.000013508
A.D. 2026-Apr-16 00:00:00.0000	0.152944298	-0.418583886	-0.048235666	0.448253396	0.000012006	0.000006397	-0.000000578	0.000013617
A.D. 2026-Apr-17 00:00:00.0000	0.173468153	-0.406820808	-0.049156748	0.444983995	0.000011693	0.000007189	-0.000000485	0.000013735
A.D. 2026-Apr-18 00:00:00.0000	0.193409224	-0.393691743	-0.049912746	0.441465287	0.000011333	0.000007975	-0.000000388	0.000013863
